,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
157,08/30/1973,19:50:03,7.103,84.307,Earthquake,33.0,,,5.9,MB,,,,,,,USP000039M,US,US,US,Reviewed
158,10/18/1979,07:09:58,73.33800000000001,54.806999999999995,Nuclear Explosion,0.0,,,5.8,MB,,,,,,,USP00013JP,US,US,US,Reviewed
159,03/26/1980,20:43:38,23.866999999999997,-45.558,Earthquake,10.0,,,6.3,MS,,,,,,,USP000168F,US,US,US,Reviewed
160,11/02/1974,04:59:57,70.817,54.063,Nuclear Explosion,0.0,,,6.7,MB,,,,,,,USP00008N6,US,US,US,Reviewed
161,05/03/2002,11:20:52,86.005,31.595,Earthquake,10.0,,308.0,5.6,MWC,,,,,,0.9,USP000B3N5,US,US,HRV,Reviewed
162,11/17/1973,10:51:22,-1.599,69.833,Earthquake,33.0,,,5.5,MS,,,,,,,USP0000468,US,US,US,Reviewed
163,01/18/1974,21:14:51,-34.175,-20.237000000000002,Earthquake,33.0,,,5.5,MB,,,,,,,USP00004YR,US,US,US,Reviewed
164,09/21/1985,10:54:44,-46.678000000000004,-13.423,Earthquake,10.0,,,5.5,MS,,3.0,,,,1.1,USP0002JZ4,US,US,US,Reviewed
165,03/12/1974,15:11:05,8.755,150.946,Earthquake,33.0,,,5.5,MB,,,,,,,USP00005KT,US,US,US,Reviewed
166,04/12/1974,17:45:18,14.263,134.317,Earthquake,33.0,,,5.5,MB,,,,,,,USP00005Y7,US,US,US,Reviewed
167,04/10/2010,06:30:00,-41.081,-89.89399999999999,Earthquake,7.0,,70.0,5.8,MWC,,,195.5,,,1.41,USP000HB3K,US,US,GCMT,Reviewed
168,04/22/1974,00:29:20,31.649,119.171,Earthquake,33.0,,,5.5,MS,,,,,,,USP000061V,US,US,US,Reviewed
169,04/07/1977,11:54:37,-26.933000000000003,26.656,Earthquake,11.0,,,5.5,MB,,,,,,,USP0000N9X,US,US,US,Reviewed
170,08/29/1999,00:46:13,3.103,65.855,Earthquake,10.0,,,6.0,MWB,,,,,,1.06,USP0009DS8,US,US,US,Reviewed
171,01/10/1976,08:52:52,-35.101,54.36,Earthquake,33.0,,,5.7,MB,,,,,,,USP0000ECN,US,US,US,Reviewed
172,06/25/1974,17:22:19,-26.09,84.28,Earthquake,33.0,,,6.6,MS,,,,,,,USP00006WC,US,US,US,Reviewed
173,07/01/1974,23:11:15,-22.642,-10.674000000000001,Earthquake,33.0,,,5.6,MS,,,,,,,USP00006ZB,US,US,US,Reviewed
174,07/04/1974,19:30:42,45.136,94.03399999999999,Earthquake,33.0,,,6.7,MS,,,,,,,USP0000708,US,US,US,Reviewed
175,05/29/2006,14:10:50,-41.948,88.458,Earthquake,10.0,,65.0,5.6,MWB,,,32.3,,,0.81,USP000EJ82,US,US,US,Reviewed
176,08/14/1974,14:59:58,68.913,75.899,Nuclear Explosion,0.0,,,5.5,MB,,,,,,,USP00007MB,US,US,US,Reviewed
177,09/04/1974,06:29:16,33.134,13.567,Earthquake,17.0,,,5.6,MS,,,,,,,USP00007XA,US,US,US,Reviewed
178,09/23/1974,19:28:17,-0.278,12.917,Earthquake,33.0,,,6.2,MS,,,,,,,USP000084T,US,US,US,Reviewed
179,09/27/1974,04:09:01,2.6910000000000003,-71.418,Earthquake,43.0,,,5.8,MS,,,,,,,USP0000860,US,US,US,Reviewed
180,07/07/2015,07:01:43,-13.329,-111.6323,Earthquake,10.0,1.7,,5.9,MWW,,,92.0,33.259,11.2,0.79,US20002VN3,US,US,US,Reviewed
181,10/22/1974,12:06:11,62.086999999999996,-26.17,Earthquake,33.0,,,5.6,MS,,,,,,,USP00008HC,US,US,US,Reviewed
182,02/04/1975,11:36:07,40.641,122.58,Earthquake,33.0,,,7.0,MW,,,,,,,USP00009SS,US,US,1020,Reviewed
183,02/17/1975,03:38:20,17.637999999999998,97.902,Earthquake,6.0,,,5.9,MS,,,,,,,USP00009Y5,US,US,US,Reviewed
184,03/10/2005,00:28:26,85.24700000000001,92.895,Earthquake,10.0,,255.0,5.5,MWC,,,26.1,,,0.94,USP000DHWN,US,US,HRV,Reviewed
185,03/28/1975,02:31:06,42.06100000000001,-112.54799999999999,Earthquake,5.0,,,6.1,MB,,,,,,,USP0000AD8,US,U,US,Reviewed
186,04/04/1975,17:41:16,-21.235,45.103,Earthquake,33.0,,,5.6,MS,,,,,,,USP0000AFZ,US,US,US,Reviewed
187,06/23/1998,01:36:32,10.546,-76.34899999999999,Earthquake,35.0,,,5.7,MWC,,,,,,0.78,USP0008QAY,US,US,HRV,Reviewed
188,05/26/1975,20:19:35,36.028,-17.588,Earthquake,33.0,,,5.6,MB,,,,,,,USP0000B6T,US,US,US,Reviewed
189,06/29/1975,10:37:41,38.759,129.99,Earthquake,560.0,,,6.2,MB,,,,,,,USP0000BTT,US,US,US,Reviewed
190,12/08/1976,14:40:59,44.76,-110.79299999999999,Earthquake,5.0,,,5.5,MB,,,,,,,USP0000KP6,US,G,US,Reviewed
191,07/24/1975,22:23:47,-21.342,120.448,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000C5R,US,US,US,Reviewed
192,09/19/1975,03:37:12,-34.759,81.84899999999999,Earthquake,33.0,,,6.1,MS,,,,,,,USP0000CVA,US,US,US,Reviewed
193,02/23/1985,14:45:36,-6.966,30.928,Earthquake,10.0,,,5.7,MB,,69.0,,,,0.8,USP0002C60,US,US,US,Reviewed
194,10/29/1975,05:01:49,4.052,-103.515,Earthquake,100.0,,,5.5,MB,,,,,,,USP0000DB2,US,US,US,Reviewed
195,12/03/1975,11:48:42,-21.168000000000003,-11.619000000000002,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000DTY,US,US,US,Reviewed
196,01/11/1976,23:22:40,-46.479,-101.073,Earthquake,33.0,,,5.6,MB,,,,,,,USP0000ED8,US,US,US,Reviewed
197,10/21/2012,01:25:23,66.309,-18.666,Earthquake,10.0,,455.0,5.5,MWW,,,27.7,,,0.74,USP000JU82,US,US,US,Reviewed
198,02/21/2008,02:46:18,77.079,18.570999999999998,Earthquake,12.0,,637.0,6.1,MWC,,,23.9,,,0.81,USP000FZEU,US,US,GCMT,Reviewed
199,05/25/1992,16:55:04,19.613,-77.872,Earthquake,23.1,,,6.8,MW,,,,,,0.9,USP000582H,US,US,HRV,Reviewed
200,01/09/1995,17:57:18,1.459,-90.56299999999999,Earthquake,10.0,,,5.6,MW,,,,,,1.3,USP0006R3J,US,US,HRV,Reviewed
201,03/29/1976,05:39:36,3.929,-85.88,Earthquake,33.0,,,6.5,MS,,,,,,,USP0000FPG,US,US,US,Reviewed
202,04/05/1976,16:54:40,40.217,112.219,Earthquake,27.0,,,5.5,MS,,,,,,,USP0000FSD,US,US,US,Reviewed
203,07/14/1977,05:49:09,40.316,63.681999999999995,Earthquake,33.0,,,5.5,MB,,,,,,,USP0000PQK,US,US,US,Reviewed
204,09/11/1976,16:31:12,46.28,13.157,Earthquake,16.0,,,5.5,MS,,,,,,,USP0000JBC,US,US,US,Reviewed
205,05/15/1976,08:09:57,4.461,19.348,Earthquake,23.0,,,5.6,MB,,,,,,,USP0000GBP,US,US,US,Reviewed
206,07/01/1976,11:24:05,-29.522,25.182,Earthquake,33.0,,,5.9,MB,,,,,,,USP0000H53,US,US,US,Reviewed
207,07/23/1976,17:44:27,-29.967,-114.427,Earthquake,33.0,,,5.6,MS,,,,,,,USP0000HGH,US,US,US,Reviewed
208,11/02/1994,01:43:56,5.099,118.64299999999999,Earthquake,55.2,3.3,,5.7,MW,,,,,,1.1,USP0006N10,US,US,HRV,Reviewed
209,10/17/1978,04:59:57,47.818000000000005,48.114,Nuclear Explosion,0.0,,,5.8,MB,,,,,,,USP0000X17,US,US,US,Reviewed
210,08/04/1976,14:00:02,-35.647,-14.035,Earthquake,33.0,,,5.8,MB,,,,,,,USP0000HQP,US,US,US,Reviewed
211,08/03/2014,00:26:42,0.9871,146.2597,Earthquake,14.87,3.3,,5.7,MB,0.04,226.0,22.0,6.553,,0.76,USB000RZKL,US,US,US,Reviewed
