,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
272,30:07.7,-1.083,-23.929000000000002,10.0,6.0,Mb,156.0,,,1.34,NEI,1994031440.0
273,00:35.8,36.900999999999996,67.163,18.5,6.0,Mb,460.0,,,1.07,NEI,1994050140.0
274,25:31.3,-7.977,30.709,34.0,6.5,Me,415.0,,,1.13,NEI,2000100240.0
275,20:18.7,22.528000000000002,118.711,13.1,6.7,Ms,525.0,,,1.16,NEI,1994091640.0
276,33:58.2,-5.731,110.36399999999999,628.2,6.0,Unk,298.0,,,0.94,NEI,1994092840.0
277,15:16.2,-39.187,-70.811,161.8,6.0,Unk,279.0,,,1.04,NEI,1994102040.0
278,16:03.3,-57.193000000000005,157.858,24.7,6.1,Ms,202.0,,,1.24,NEI,1994110540.0
279,46:52.1,34.583,135.018,21.9,6.8,Ms,503.0,,,1.0,NEI,1995011640.0
280,05:03.4,5.05,-72.916,17.3,6.6,Ms,607.0,,,0.95,NEI,1995011940.0
281,45:58.7,16.562,-59.559,8.1,6.3,Mb,637.0,,,0.81,NEI,1995030840.0
282,36:28.7,21.968000000000004,142.83,241.1,6.2,Me,244.0,,,0.9,NEI,1996070610.0
283,16:07.0,1.393,-85.169,6.0,6.1,Mw,299.0,,,0.97,NEI,2009051040.0
284,03:52.6,52.629,142.827,11.0,7.5,Ms,599.0,,,0.95,NEI,1995052740.0
285,51:18.9,-12.59,79.22800000000001,16.2,6.2,Mb,482.0,,,0.81,NEI,1995072740.0
286,44:25.4,4.041,143.77,12.6,6.2,Mw,182.0,,,1.33,NEI,1995080740.0
287,41:45.3,-35.288000000000004,-106.266,8.4,6.0,Mw,202.0,,,1.14,NEI,1995101240.0
288,30:53.0,26.241,101.889,11.0,6.0,Mw,373.0,,,0.98,NEI,2008083040.0
289,15:11.9,28.826,34.799,10.0,7.2,Mw,542.0,,,1.29,NEI,1995112240.0
290,25:56.4,-4.651,-105.37899999999999,10.0,6.0,Mw,132.0,,,1.21,NEI,2002061740.0
291,32:47.1,40.774,109.661,26.0,6.0,Mw,268.0,,,1.0,NEI,1996050310.0
292,32:13.5,-53.773999999999994,8.8,10.0,6.4,Mw,88.0,,,1.5,NEI,1996062210.0
293,47:12.9,75.82,134.619,10.0,6.2,Mw,271.0,,,1.2,NEI,1996062210.0
294,49:59.7,58.62,157.752,10.0,6.4,Me,254.0,,,1.0,NEI,1996070710.0
295,00:41.9,36.147,27.103,33.0,6.2,Me,279.0,,,1.0,NEI,1996072010.0
296,10:52.1,34.556,32.126,33.0,6.8,Mw,482.0,,,0.98,NEI,1996100920.0
297,31:53.9,66.986,-173.229,19.9,6.1,Me,411.0,,,0.99,NEI,1996102420.0
298,16:13.4,19.917,95.67200000000001,10.0,6.6,Mw,518.0,,,0.92,NEI,2003092140.0
299,44:46.1,35.345,78.133,33.0,6.9,Mw,339.0,,,1.12,NEI,1996111910.0
300,28:48.6,29.85,-42.855,10.0,6.0,Mw,340.0,,,1.13,NEI,1996120910.0
301,53:14.7,24.894000000000002,92.25,34.9,6.0,Me,297.0,,,0.96,NEI,1997050810.0
302,24:19.2,-35.051,-108.836,10.0,6.1,Mw,256.0,,,0.93,NEI,2007041340.0
303,20:31.0,-16.012999999999998,124.329,10.0,6.3,Mw,269.0,,,0.8,NEI,1997081010.0
304,40:26.3,43.083999999999996,12.812000000000001,10.0,6.0,Ms,348.0,,,1.32,NEI,1997092610.0
305,23:06.3,22.212,92.70200000000001,54.4,6.1,Me,362.0,,,0.97,NEI,1997112110.0
306,27:50.5,-2.5980000000000003,68.382,10.0,7.6,Me,522.0,,,0.98,NEI,2003071540.0
307,50:29.4,80.324,-1.8530000000000002,9.0,6.5,Mw,341.0,,,0.9,NEI,2009030640.0
308,17:22.5,-63.611999999999995,147.937,10.0,6.5,Mw,225.0,,,0.89,NEI,1998032520.0
309,48:50.4,-17.730999999999998,-65.431,24.0,6.6,Me,226.0,,,1.36,NEI,1998052210.0
310,55:52.1,36.878,35.306999999999995,33.0,6.3,Mw,409.0,,,1.31,NEI,1998062710.0
311,41:13.1,13.738,-45.565,10.0,6.0,Mw,310.0,,,1.06,NEI,1998100110.0
312,00:08.5,-26.463,74.476,10.0,6.3,Me,405.0,,,0.8,NEI,1999012410.0
313,35:32.1,51.607,104.15799999999999,16.0,6.3,Mw,621.0,,,0.8,NEI,2008082740.0
314,16:02.2,55.896,110.214,10.0,6.0,Mw,311.0,,,0.88,NEI,1999032110.0
315,00:40.9,-36.102,-110.64,10.0,6.0,Mw,68.0,,,0.81,NEI,1999051140.0
316,57:19.5,40.758,31.160999999999998,10.0,7.2,Mw,484.0,,,1.11,NEI,1999111220.0
317,46:13.5,3.103,65.855,10.0,6.0,Me,286.0,,,1.06,NEI,1999082940.0
318,42:43.2,-1.339,88.976,10.0,7.0,Mw,457.0,,,0.99,NEI,1999111520.0
319,33:21.7,17.759,-81.55,25.2,6.0,Mw,450.0,,,0.82,NEI,2004090940.0
320,07:51.5,-4.586,122.771,8.0,6.1,Mw,204.0,,,1.48,NEI,2011042420.0
321,23:23.5,28.776999999999997,63.951,68.0,7.2,Mw,372.0,,,1.3,NEI,2011011840.0
322,41:49.8,40.693000000000005,32.992,10.0,6.0,Mw,418.0,,,1.04,NEI,2000060640.0
323,51:46.9,63.98,-20.758000000000003,10.0,6.5,Mw,351.0,,,0.9,NEI,2000062140.0
324,44:13.3,-13.802,97.45299999999999,10.0,7.9,Mw,405.0,,,1.16,NEI,2000061840.0
325,39:11.7,31.732,-40.958,10.0,6.1,Mw,351.0,,,0.96,NEI,2000100540.0
326,30:19.1,35.455999999999996,133.134,10.0,6.7,Mw,390.0,,,1.02,NEI,2000100640.0
