,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1366,24:38.5,47.851000000000006,152.455,112.0,6.0,Mw,512.0,,,0.86,NEI,2009101040.0
1367,40:55.0,46.483000000000004,154.726,10.0,6.7,Mw,489.0,,,0.9,NEI,2006111540.0
1368,58:21.6,3.39,99.079,204.0,6.3,Mw,537.0,,,0.81,NEI,2006120140.0
1369,48:03.3,3.733,124.684,213.5,6.3,Mw,328.0,,,0.96,NEI,2006121240.0
1370,34:13.8,21.974,120.493,10.0,6.9,Mw,466.0,,,1.12,NEI,2006122640.0
1371,30:49.8,13.312999999999999,51.365,15.0,6.6,Mw,474.0,,,1.2,NEI,2006123040.0
1372,21:49.9,39.803000000000004,70.312,16.0,6.0,Mw,468.0,,,0.88,NEI,2007010840.0
1373,37:06.3,46.913000000000004,156.276,10.0,6.0,Mw,370.0,,,0.81,NEI,2007011341.0
1374,18:49.8,10.125,58.708,8.0,6.2,Mw,396.0,,,0.89,NEI,2007011740.0
1375,37:44.4,20.98,144.705,20.0,6.6,Mw,418.0,,,0.88,NEI,2007013040.0
1376,56:59.1,19.372,-78.518,10.0,6.2,Mw,458.0,,,1.15,NEI,2007020440.0
1377,35:22.7,35.804,-10.312000000000001,20.0,6.0,Mw,697.0,,,1.01,NEI,2007021240.0
1378,36:23.7,-7.006,-80.485,23.0,6.3,Mw,404.0,,,1.11,NEI,2007022440.0
1379,11:52.1,26.581,-44.593999999999994,10.0,6.0,Mw,387.0,,,0.99,NEI,2007030140.0
1380,49:38.9,-0.493,100.49799999999999,19.0,6.4,Mw,306.0,,,1.21,NEI,2007030640.0
1381,22:42.8,43.224,133.526,441.2,6.0,Mw,666.0,,,0.71,NEI,2007030940.0
1382,11:05.3,4.585,-78.494,7.0,6.2,Mw,677.0,,,0.89,NEI,2007031840.0
1383,41:57.8,37.336,136.588,8.0,6.7,Mw,493.0,,,0.83,NEI,2007032540.0
